ID		      n           mean        sigma       rob_mean    rob_sigma            max            min
1337.WFI.dat      65         22.909        0.366         22.925        0.339         23.811         22.057
1338.WFI.dat      76         23.383        0.256         23.365        0.263         23.938         22.816
1339.WFI.dat      54         23.511        0.285         23.503        0.197         25.185         23.189
133.WFI.dat      96         21.631        0.081         21.644        0.081         21.864         21.444
1340.WFI.dat      22         23.664        0.223         23.710        0.210         23.981         23.056
1342.WFI.dat      75         23.310        0.248         23.316        0.260         23.781         22.826
1343.WFI.dat      62         23.080        0.228         23.044        0.236         23.608         22.584
1344.WFI.dat      50         23.709        0.209         23.724        0.213         24.118         23.201
1345.WFI.dat      73         23.147        0.211         23.154        0.205         23.726         22.673
1346.WFI.dat      67         23.386        0.527         23.200        0.491         25.183         22.689
1347.WFI.dat       6         22.267        0.465         22.199        0.436         23.135         21.835
1348.WFI.dat       4         22.957        0.162         22.978        0.150         23.122         22.749
1349.WFI.dat      48         23.430        0.238         23.394        0.202         24.561         23.113
134.WFI.dat      27         21.284        0.149         21.279        0.108         21.861         21.095
1351.WFI.dat       4         22.440        0.495         22.358        0.436         23.112         21.935
1352.WFI.dat      28         23.305        0.352         23.367        0.302         23.821         22.386
1354.WFI.dat      35         23.132        0.510         23.087        0.476         24.823         22.228
1355.WFI.dat      72         24.245        0.127         24.239        0.097         24.739         23.813
1356.WFI.dat      22         22.889        0.168         22.891        0.139         23.353         22.582
1357.WFI.dat      77         23.837        0.090         23.831        0.087         24.150         23.624
1358.WFI.dat      10         24.458        0.316         24.389        0.339         24.922         24.014
1359.WFI.dat       4         23.249        0.257         23.270        0.216         23.542         22.916
135.WFI.dat      19         21.616        0.189         21.644        0.182         21.974         21.206
1360.WFI.dat      29         24.829        0.214         24.840        0.167         25.209         24.209
1361.WFI.dat      74         23.747        0.082         23.748        0.088         23.893         23.514
1362.WFI.dat      10         23.479        0.557         23.379        0.632         24.335         22.899
1363.WFI.dat      13         24.994        0.396         25.062        0.229         25.396         23.838
1365.WFI.dat      87         22.941        0.231         22.959        0.212         23.530         22.327
1366.WFI.dat      37         23.520        0.289         23.504        0.308         24.103         23.000
1367.WFI.dat      17         23.396        0.279         23.352        0.208         23.996         22.790
1368.WFI.dat      67         23.676        0.194         23.688        0.167         24.341         23.236
1369.WFI.dat      63         24.329        0.327         24.291        0.265         25.510         23.616
136.WFI.dat      72         22.358        0.233         22.330        0.136         23.728         21.978
1370.WFI.dat       3         23.429        0.071         23.421        0.051         23.510         23.378
1371.WFI.dat      15         22.423        0.264         22.374        0.142         23.273         22.133
1372.WFI.dat      14         22.727        0.276         22.607        0.271         23.369         22.468
1377.WFI.dat       9         22.971        0.266         22.938        0.268         23.371         22.495
1379.WFI.dat      55         24.056        0.287         24.004        0.294         24.811         23.401
1381.WFI.dat      86         23.496        0.055         23.495        0.052         23.698         23.341
1383.WFI.dat       4         22.943        0.096         22.954        0.088         23.044         22.822
1384.WFI.dat      52         23.763        0.117         23.761        0.108         24.054         23.489
1385.WFI.dat      65         23.628        0.108         23.622        0.097         23.949         23.342
1386.WFI.dat       4         23.299        0.155         23.243        0.125         23.526         23.186
1389.WFI.dat       7         22.602        0.454         22.675        0.477         23.109         21.905
138.WFI.dat      18         21.514        0.211         21.466        0.101         22.284         21.356
1390.WFI.dat      82         23.066        0.222         23.033        0.215         23.836         22.528
1394.WFI.dat      33         23.317        0.211         23.352        0.182         23.710         22.700
1397.WFI.dat      76         24.074        0.086         24.063        0.084         24.326         23.898
1399.WFI.dat       8         22.693        0.282         22.632        0.312         23.144         22.400
139.WFI.dat      81         21.210        0.161         21.205        0.159         21.559         20.664
13.WFI.dat      97         19.577        0.012         19.576        0.008         19.599         19.490
1401.WFI.dat       5         22.712        0.408         22.561        0.332         23.426         22.425
1404.WFI.dat      93         23.289        0.094         23.290        0.072         23.669         22.995
1405.WFI.dat      73         23.020        0.240         23.010        0.227         23.429         22.361
1406.WFI.dat       8         23.563        0.303         23.521        0.233         24.258         23.222
1407.WFI.dat      18         22.802        0.369         22.710        0.296         23.791         22.130
1409.WFI.dat      73         23.691        0.545         23.676        0.546         25.302         22.498
1410.WFI.dat      26         22.581        0.238         22.555        0.215         23.127         22.059
1411.WFI.dat      28         22.809        0.291         22.745        0.277         23.648         22.446
1412.WFI.dat      49         22.855        0.493         22.830        0.496         24.311         21.837
1413.WFI.dat      78         24.132        0.143         24.111        0.133         24.514         23.690
1414.WFI.dat      69         23.129        0.243         23.117        0.211         23.766         22.391
1415.WFI.dat      81         22.917        0.161         22.925        0.143         23.410         22.582
1416.WFI.dat      76         23.477        0.245         23.455        0.255         24.307         22.926
1417.WFI.dat       3         23.560        0.345         23.539        0.261         23.938         23.263
1419.WFI.dat       6         24.248        0.386         24.369        0.336         24.573         23.498
141.WFI.dat      86         21.510        0.181         21.520        0.178         21.873         20.946
1420.WFI.dat      13         22.696        0.308         22.678        0.274         23.406         22.220
1421.WFI.dat      73         23.773        0.305         23.696        0.220         25.163         22.920
1422.WFI.dat      36         22.462        0.292         22.367        0.295         23.180         21.974
1424.WFI.dat      62         23.334        0.237         23.308        0.266         23.850         22.802
